ID,PAY_AMT_APRIL,PAY_AMT_FEBRUARY,PAY_AMT_JANUARY,PAY_AMT_JUNE,PAY_AMT_MARCH,PAY_AMT_MAY,PAY_APRIL,PAY_FEBRUARY,PAY_JANUARY,PAY_JUNE,PAY_MARCH,PAY_MAY,BILL_AMT_APRIL,BILL_AMT_FEBRUARY,BILL_AMT_JANUARY,BILL_AMT_JUNE,BILL_AMT_MARCH,BILL_AMT_MAY,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,DEFAULT_JULY
21,1967.0,0.0,1100.0,1396.0,903.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,24053.0,25977.0,25413.0,24022.0,25624.0,24744.0,30000.0,2,1,2,34,1
22,1400.0,1500.0,1500.0,1800.0,915.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,28481.0,26691.0,26329.0,33703.0,27634.0,30857.0,50000.0,2,2,2,25,0
25,4500.0,0.0,4000.0,8000.0,11781.0,5014.0,0.0,0.0,2.0,0.0,0.0,0.0,115874.0,111553.0,108434.0,112878.0,111346.0,118601.0,160000.0,2,2,2,31,0
28,0.0,0.0,11621.0,40000.0,0.0,0.0,0.0,-2.0,-2.0,-1.0,-2.0,0.0,0.0,0.0,0.0,35755.0,0.0,72000.0,500000.0,1,1,1,44,0
30,3000.0,7000.0,3000.0,3200.0,3500.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,78232.0,70987.0,75835.0,98843.0,69426.0,92820.0,110000.0,2,2,2,24,0
33,3000.0,42200.0,1900.0,3500.0,2500.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,86360.0,30834.0,50585.0,88805.0,67145.0,86939.0,90000.0,1,1,1,41,0
35,0.0,0.0,0.0,51811.0,0.0,9544.0,-1.0,-2.0,-2.0,-1.0,-1.0,-1.0,4997.0,0.0,0.0,37137.0,0.0,51803.0,250000.0,2,2,1,41,0
36,4000.0,0.0,5000.0,6000.0,9000.0,6000.0,0.0,0.0,2.0,0.0,0.0,0.0,118405.0,106300.0,104433.0,120290.0,99081.0,116082.0,120000.0,2,1,1,51,0
37,14044.0,5855.0,5254.0,8017.0,5410.0,8117.0,0.0,0.0,0.0,0.0,0.0,0.0,238314.0,186841.0,189010.0,243742.0,219634.0,237204.0,260000.0,2,2,1,32,0
39,680.0,728.0,690.0,1329.0,705.0,1310.0,0.0,0.0,0.0,0.0,0.0,0.0,19917.0,20146.0,20221.0,18922.0,20017.0,19486.0,50000.0,1,2,2,53,0
40,2508.0,0.0,563.0,836.0,0.0,836.0,-1.0,0.0,0.0,2.0,-1.0,2.0,836.0,1672.0,836.0,7123.0,2508.0,6848.0,240000.0,1,2,1,38,1
41,0.0,87161.0,5000.0,13450.0,8044.0,56729.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,56729.0,6734.0,87161.0,7990.0,-1310.0,13450.0,230000.0,2,1,2,33,0
42,4000.0,3500.0,9500.0,5320.0,4000.0,7845.0,0.0,0.0,0.0,0.0,2.0,0.0,109443.0,106665.0,92417.0,107336.0,106637.0,107195.0,110000.0,2,1,2,29,0
44,1800.0,3308.0,2500.0,4200.0,0.0,3600.0,2.0,2.0,2.0,0.0,2.0,0.0,47229.0,47056.0,49565.0,41485.0,47956.0,44697.0,70000.0,2,2,2,24,0
45,6000.0,6000.0,5000.0,7000.0,5000.0,5433.0,0.0,0.0,0.0,0.0,0.0,0.0,121369.0,104432.0,107209.0,146022.0,100807.0,145114.0,220000.0,1,1,2,29,0
46,2444.0,1038.0,2000.0,2000.0,1342.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,34232.0,30337.0,28012.0,37148.0,32331.0,35754.0,210000.0,2,2,1,35,0
47,1000.0,980.0,1000.0,1406.0,1000.0,1366.0,0.0,0.0,0.0,2.0,0.0,0.0,45414.0,21987.0,22452.0,29742.0,21331.0,30266.0,30000.0,1,3,1,33,1
48,0.0,0.0,1100.0,1757.0,2300.0,3237.0,0.0,2.0,2.0,0.0,2.0,0.0,30001.0,31064.0,30487.0,26509.0,29187.0,27521.0,50000.0,2,2,2,25,0
49,2535.0,5000.0,3000.0,0.0,5000.0,0.0,2.0,0.0,0.0,2.0,0.0,3.0,30759.0,36229.0,79827.0,32355.0,32764.0,31549.0,150000.0,1,1,2,34,1
52,12950.0,2434.0,2222.0,2183.0,11372.0,4142.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,4103.0,11372.0,2434.0,2732.0,12950.0,2183.0,340000.0,2,1,2,44,0
54,8675.0,3927.0,2529.0,1735.0,4566.0,10096.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10062.0,4566.0,3915.0,4480.0,8662.0,1725.0,240000.0,2,2,1,40,0
55,6000.0,10200.0,7900.0,9022.0,1000.0,10006.0,0.0,0.0,-1.0,0.0,0.0,0.0,27292.0,7021.0,10171.0,39664.0,16567.0,28033.0,280000.0,1,1,2,27,0
56,3300.0,3500.0,3206.0,4841.0,3361.0,4300.0,0.0,0.0,0.0,0.0,0.0,0.0,98897.0,96967.0,99016.0,99483.0,94943.0,97546.0,200000.0,1,2,2,36,1
57,232.0,150.0,81.0,0.0,0.0,0.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,150.0,1082.0,232.0,0.0,210000.0,2,3,2,28,0
58,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,0.0,-2.0,0.0,0.0,0.0,0.0,120000.0,0.0,0.0,130000.0,1,1,2,29,0
59,416.0,982.0,416.0,416.0,150.0,416.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,416.0,150.0,982.0,416.0,416.0,416.0,180000.0,2,1,2,33,1
60,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,270000.0,2,1,1,45,1
61,1100.0,1200.0,1100.0,1580.0,3000.0,1500.0,0.0,0.0,0.0,2.0,0.0,0.0,25820.0,28224.0,28968.0,60289.0,25793.0,57426.0,60000.0,1,1,1,49,1
62,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,1.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,2,3,2,35,0
64,1142.0,1401.0,938.0,0.0,926.0,878.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,878.0,926.0,1401.0,1066.0,1142.0,0.0,360000.0,2,2,2,37,1
65,3064.0,790.0,1100.0,3006.0,1799.0,2300.0,0.0,0.0,0.0,2.0,0.0,0.0,47361.0,17807.0,18324.0,49052.0,44293.0,48026.0,50000.0,2,1,2,25,1
69,0.0,1245.0,0.0,35300.0,0.0,1000.0,-1.0,-2.0,-1.0,1.0,-1.0,-1.0,1000.0,0.0,1245.0,0.0,0.0,35300.0,180000.0,2,3,2,24,0
70,4009.0,5011.0,7006.0,15126.0,5014.0,9064.0,0.0,0.0,0.0,0.0,0.0,0.0,99736.0,81005.0,79387.0,142129.0,80445.0,130705.0,140000.0,2,1,1,41,1
71,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,1.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,2,2,1,44,0
72,0.0,1014.0,1000.0,1032.0,932.0,2234.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1864.0,932.0,1014.0,462.0,932.0,562.0,210000.0,1,1,2,30,0
73,2532.0,1496.0,1873.0,2329.0,1865.0,1894.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,1894.0,1865.0,1496.0,566.0,2528.0,2329.0,230000.0,2,2,1,34,0
75,18351.0,10637.0,12331.0,17253.0,14249.0,35369.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,35369.0,14249.0,10637.0,15739.0,18351.0,17253.0,80000.0,2,1,1,47,0
76,2028.0,4086.0,2476.0,4983.0,1725.0,15084.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,19194.0,1717.0,4066.0,15179.0,4389.0,4981.0,350000.0,1,1,2,32,0
78,2450.0,1900.0,1826.0,2520.0,1676.0,2510.0,0.0,0.0,0.0,2.0,0.0,0.0,54293.0,51558.0,52800.0,55563.0,53294.0,55222.0,140000.0,2,1,1,33,1
79,0.0,0.0,1300.0,3000.0,6900.0,0.0,2.0,-1.0,2.0,0.0,2.0,0.0,9022.0,6214.0,2360.0,11683.0,-422.0,9624.0,310000.0,2,1,2,26,0
82,80877.0,56789.0,17540.0,9495.0,45369.0,18513.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18511.0,45369.0,56789.0,7623.0,80877.0,9483.0,460000.0,2,1,1,54,0
83,523.0,7037.0,11000.0,62330.0,223.0,57928.0,-2.0,-1.0,-1.0,-2.0,-2.0,-2.0,57928.0,223.0,7037.0,47244.0,523.0,92754.0,200000.0,1,1,2,32,0
84,0.0,1988.0,2000.0,2100.0,2000.0,5896.0,0.0,0.0,0.0,0.0,2.0,0.0,51221.0,49820.0,50525.0,51229.0,49759.0,46954.0,50000.0,2,2,1,43,0
85,7160.0,1476.0,6078.0,12369.0,6471.0,4690.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3979.0,6448.0,1476.0,15485.0,7139.0,12332.0,290000.0,2,1,1,47,0
86,1000.0,1206.0,0.0,1700.0,0.0,1020.0,0.0,0.0,-1.0,0.0,0.0,0.0,4885.0,-264.0,942.0,8618.0,1065.0,9975.0,30000.0,2,2,1,28,0
87,1564.0,2053.0,3228.0,1639.0,0.0,3683.0,0.0,2.0,0.0,0.0,2.0,0.0,38038.0,37764.0,39053.0,34171.0,38683.0,34939.0,160000.0,1,2,1,39,1
88,60.0,2500.0,2300.0,0.0,2200.0,6700.0,2.0,0.0,0.0,1.0,2.0,2.0,66362.0,57893.0,58212.0,66212.0,61417.0,64021.0,100000.0,2,3,2,54,0
89,668.0,853.0,790.0,1293.0,843.0,1304.0,0.0,0.0,0.0,0.0,0.0,0.0,18289.0,19195.0,19580.0,16560.0,18653.0,17278.0,20000.0,2,2,1,42,1
91,1684.0,1558.0,2000.0,3181.0,1564.0,2050.0,0.0,0.0,0.0,-1.0,0.0,0.0,57827.0,45354.0,43112.0,79690.0,46390.0,80976.0,80000.0,1,2,1,27,0
93,0.0,1000.0,1030.0,0.0,0.0,4920.0,-1.0,-2.0,-1.0,-1.0,-1.0,-1.0,4910.0,0.0,1000.0,490.0,0.0,-10.0,170000.0,1,2,1,37,0
94,2500.0,2189.0,2282.0,2009.0,3000.0,2057.0,0.0,0.0,0.0,2.0,0.0,0.0,56599.0,60058.0,61250.0,54933.0,58155.0,55460.0,90000.0,1,1,1,34,1
96,1517.0,8001.0,295.0,3562.0,2000.0,1914.0,0.0,0.0,0.0,2.0,0.0,0.0,70681.0,41367.0,17004.0,69770.0,69497.0,70954.0,250000.0,2,2,2,24,1
97,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-1.0,-2.0,-1.0,0.0,0.0,0.0,901.0,0.0,0.0,330000.0,1,2,1,34,0
98,900.0,1000.0,0.0,8000.0,0.0,2000.0,0.0,0.0,0.0,-1.0,0.0,0.0,18546.0,18066.0,17463.0,9525.0,18846.0,16977.0,20000.0,1,3,2,23,0
99,51379.0,0.0,0.0,32038.0,2233.0,28982.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,28823.0,2222.0,-34.0,12018.0,51120.0,31282.0,360000.0,1,1,2,29,0
103,1175.0,95049.0,3308.0,1371.0,0.0,1389.0,0.0,0.0,-1.0,0.0,0.0,0.0,23359.0,-1353.0,93696.0,22331.0,23647.0,22341.0,280000.0,1,2,1,33,0
108,0.0,390.0,390.0,0.0,390.0,2253.0,-1.0,-1.0,-1.0,-1.0,2.0,2.0,1863.0,390.0,390.0,2905.0,390.0,1258.0,200000.0,2,1,2,31,0
109,0.0,3500.0,2200.0,6600.0,4000.0,0.0,3.0,0.0,0.0,1.0,2.0,2.0,57156.0,57437.0,59204.0,53524.0,54984.0,58646.0,110000.0,1,2,1,34,1
110,380.0,380.0,380.0,380.0,380.0,380.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,380.0,380.0,380.0,380.0,380.0,380.0,230000.0,1,1,2,42,1
111,3000.0,4000.0,2043.0,4000.0,3000.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,48425.0,52764.0,55898.0,46588.0,50611.0,49496.0,90000.0,2,1,2,27,0
112,2397.0,0.0,2448.0,2230.0,5912.0,2009.0,0.0,0.0,2.0,0.0,0.0,0.0,51435.0,54709.0,52462.0,51897.0,51512.0,51961.0,70000.0,1,1,2,26,0
113,0.0,0.0,0.0,800.0,0.0,3.0,2.0,-2.0,-2.0,-1.0,2.0,-1.0,735.0,-10.0,-10.0,1960.0,-10.0,732.0,360000.0,2,3,1,70,0
115,0.0,0.0,0.0,0.0,0.0,77.0,-1.0,-2.0,-2.0,1.0,-1.0,-2.0,77.0,0.0,0.0,0.0,0.0,0.0,360000.0,1,1,2,29,0
116,3000.0,0.0,2000.0,2000.0,6000.0,2000.0,0.0,0.0,2.0,0.0,0.0,0.0,44283.0,51384.0,50568.0,42062.0,46352.0,43170.0,170000.0,2,1,2,28,0
117,11500.0,10500.0,10000.0,13200.0,10500.0,14000.0,0.0,0.0,0.0,0.0,0.0,0.0,295807.0,289529.0,289449.0,293429.0,291616.0,295998.0,460000.0,1,1,1,49,0
118,22935.0,0.0,0.0,200.0,0.0,0.0,2.0,0.0,0.0,1.0,-1.0,-1.0,200.0,16858.0,0.0,0.0,22935.0,200.0,300000.0,2,2,1,66,0
119,2000.0,2000.0,1000.0,0.0,0.0,1685.0,0.0,2.0,0.0,1.0,0.0,2.0,22995.0,23781.0,25383.0,22320.0,24310.0,21674.0,30000.0,1,3,1,50,1
122,0.0,150.0,390.0,0.0,0.0,390.0,-1.0,0.0,-1.0,1.0,0.0,-2.0,390.0,390.0,150.0,0.0,390.0,0.0,20000.0,2,2,3,46,0
123,0.0,4386.0,12000.0,1017.0,1560.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,1560.0,4386.0,2703.0,0.0,1017.0,390000.0,2,1,2,33,0
124,12097.0,8961.0,38591.0,22771.0,30096.0,2652.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2652.0,30096.0,8961.0,50500.0,12097.0,22771.0,230000.0,1,1,2,45,0
125,1200.0,1042.0,1009.0,1500.0,1100.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,26601.0,28017.0,28593.0,37329.0,27358.0,32540.0,50000.0,2,2,2,36,1
126,1682.0,1682.0,1674.0,1929.0,1682.0,1682.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1682.0,1682.0,1682.0,1682.0,1682.0,1929.0,120000.0,2,2,2,26,0
127,6407.0,0.0,3000.0,0.0,0.0,0.0,2.0,-1.0,-2.0,-1.0,-1.0,2.0,0.0,0.0,0.0,5713.0,6407.0,1492.0,120000.0,2,2,2,30,0
131,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-1.0,-2.0,-1.0,0.0,0.0,0.0,18486.0,0.0,0.0,120000.0,2,2,1,37,0
133,1000.0,1000.0,2000.0,1500.0,1000.0,1091.0,0.0,0.0,0.0,0.0,0.0,0.0,9816.0,8765.0,9136.0,9730.0,9889.0,9067.0,50000.0,2,2,2,29,0
135,0.0,0.0,0.0,2200.0,0.0,0.0,0.0,-2.0,-2.0,0.0,-2.0,0.0,0.0,0.0,0.0,40173.0,0.0,41150.0,190000.0,2,2,1,33,0
138,2200.0,2000.0,2000.0,6000.0,2000.0,4542.0,0.0,0.0,0.0,0.0,0.0,0.0,87817.0,48126.0,49234.0,108711.0,47175.0,107996.0,130000.0,2,3,1,49,0
140,7100.0,6500.0,7000.0,32000.0,7000.0,0.0,3.0,2.0,2.0,0.0,2.0,0.0,188441.0,193673.0,197104.0,163553.0,191134.0,192724.0,260000.0,1,1,1,37,1
143,200.0,5600.0,5200.0,0.0,10500.0,13000.0,2.0,2.0,2.0,2.0,2.0,2.0,138289.0,142913.0,146003.0,132510.0,134773.0,128981.0,160000.0,2,1,2,33,1
148,1000.0,1200.0,0.0,0.0,2300.0,22015.0,-1.0,0.0,2.0,1.0,0.0,-2.0,22015.0,24583.0,25227.0,0.0,22649.0,0.0,30000.0,1,1,2,29,0
150,1900.0,0.0,999.0,4355.0,1333.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,48546.0,49890.0,48941.0,46346.0,49157.0,49612.0,50000.0,1,2,2,29,0
151,0.0,0.0,0.0,390.0,0.0,780.0,-1.0,2.0,-2.0,-1.0,2.0,-1.0,780.0,0.0,0.0,390.0,780.0,390.0,20000.0,1,2,2,34,0
153,1226.0,0.0,3146.0,0.0,7000.0,1688.0,-1.0,-1.0,2.0,-1.0,-1.0,2.0,1688.0,6394.0,1626.0,5432.0,1226.0,2146.0,280000.0,2,1,2,28,0
157,4000.0,3000.0,4000.0,4545.0,3000.0,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,73143.0,77059.0,78820.0,119884.0,75919.0,105631.0,120000.0,2,2,1,34,0
158,1100.0,2423.0,0.0,1788.0,1150.0,1799.0,0.0,0.0,0.0,0.0,0.0,0.0,30036.0,30997.0,32904.0,37767.0,30337.0,34457.0,100000.0,2,2,2,27,0
161,1500.0,5000.0,5000.0,10000.0,4000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,22576.0,22029.0,19540.0,42713.0,18247.0,50270.0,100000.0,2,2,2,27,0
164,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,1.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,290000.0,2,2,1,60,0
169,2500.0,2472.0,1000.0,1110.0,1000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,7676.0,10181.0,12472.0,4761.0,9877.0,5786.0,230000.0,1,2,1,36,0
170,2257.0,1000.0,2000.0,3165.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,26077.0,27315.0,27709.0,24043.0,27898.0,26806.0,50000.0,1,2,2,29,0
172,2000.0,679.0,500.0,3000.0,618.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,21320.0,19003.0,19439.0,13917.0,18614.0,16695.0,50000.0,1,2,1,47,0
173,4061.0,2800.0,2909.0,4179.0,2846.0,4231.0,0.0,0.0,0.0,2.0,0.0,0.0,87294.0,81640.0,82462.0,101347.0,85336.0,95956.0,230000.0,2,1,2,28,1
175,2453.0,2453.0,2453.0,3900.0,2453.0,2406.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2394.0,2441.0,2441.0,2434.0,2441.0,3881.0,360000.0,2,1,2,27,0
177,1514.0,1000.0,220.0,2005.0,1006.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,45987.0,29141.0,21955.0,53145.0,35377.0,52131.0,170000.0,1,1,1,34,0
181,1000.0,10000.0,0.0,5129.0,5914.0,1227.0,0.0,0.0,0.0,0.0,0.0,0.0,9390.0,8065.0,17277.0,18999.0,5781.0,23699.0,100000.0,1,1,2,26,0
182,8000.0,8300.0,7500.0,11000.0,8000.0,11031.0,0.0,0.0,0.0,0.0,0.0,0.0,282231.0,216403.0,218209.0,281544.0,216946.0,283173.0,340000.0,2,5,1,27,0
183,3000.0,2000.0,0.0,2900.0,5450.0,1300.0,3.0,2.0,3.0,2.0,2.0,3.0,96461.0,101280.0,101935.0,97156.0,96975.0,97634.0,100000.0,2,2,2,27,1
185,5000.0,5000.0,20000.0,0.0,5000.0,5012.0,0.0,0.0,0.0,2.0,0.0,2.0,116592.0,83630.0,87733.0,159164.0,89475.0,154983.0,140000.0,2,1,1,31,1
186,684.0,672.0,670.0,2559.0,713.0,1969.0,0.0,0.0,0.0,0.0,0.0,0.0,38124.0,20314.0,18810.0,47598.0,19893.0,40714.0,50000.0,2,2,2,23,0
188,1135.0,1500.0,1500.0,2000.0,1822.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,56473.0,22191.0,20750.0,60323.0,28603.0,60729.0,60000.0,1,2,2,25,0
189,2525.0,1.0,649.0,146.0,1504.0,1006.0,-1.0,-1.0,0.0,1.0,-1.0,-2.0,1000.0,1498.0,499.0,0.0,2525.0,146.0,80000.0,2,2,1,28,0
191,1501.0,3400.0,0.0,1700.0,1700.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,41181.0,43021.0,45700.0,39083.0,41996.0,40150.0,50000.0,2,2,2,24,1
193,22837.0,0.0,1650.0,5000.0,3300.0,3300.0,0.0,0.0,2.0,0.0,0.0,0.0,70681.0,90755.0,53692.0,86422.0,73595.0,89710.0,90000.0,2,2,1,24,0
194,569.0,0.0,0.0,0.0,718.0,602.0,0.0,0.0,3.0,1.0,0.0,2.0,2808.0,3989.0,3610.0,4323.0,3325.0,3851.0,50000.0,2,1,2,28,0
196,10015.0,1522.0,2013.0,10115.0,3022.0,15010.0,0.0,0.0,0.0,0.0,0.0,0.0,53256.0,60720.0,57407.0,56142.0,60945.0,60855.0,150000.0,1,1,2,34,0
198,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,0.0,-2.0,0.0,0.0,0.0,0.0,118175.0,0.0,0.0,240000.0,2,1,2,27,0
201,1600.0,1800.0,1807.0,5088.0,2000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,51353.0,44784.0,45685.0,209807.0,43485.0,123664.0,210000.0,2,2,1,29,1
204,1602.0,600.0,400.0,1295.0,1300.0,1309.0,0.0,0.0,2.0,0.0,0.0,0.0,18541.0,19757.0,19913.0,19295.0,19059.0,19639.0,20000.0,2,2,1,43,0
206,0.0,632.0,0.0,0.0,316.0,632.0,-1.0,-1.0,-1.0,-1.0,2.0,2.0,632.0,316.0,632.0,2227.0,316.0,316.0,160000.0,2,2,2,24,0
210,9140.0,500.0,0.0,2296.0,1073.0,14777.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14059.0,1073.0,500.0,3305.0,9140.0,2296.0,20000.0,2,1,2,24,1
214,580.0,435.0,518.0,1238.0,0.0,2959.0,0.0,2.0,0.0,0.0,2.0,0.0,15657.0,13561.0,13291.0,13195.0,14418.0,14197.0,20000.0,1,3,2,40,0
216,795.0,673.0,647.0,1565.0,1000.0,7240.0,0.0,0.0,0.0,0.0,0.0,0.0,18188.0,18161.0,18383.0,48264.0,18397.0,19142.0,50000.0,1,1,2,35,1
221,3613.0,975.0,980.0,1676.0,0.0,1725.0,0.0,2.0,0.0,0.0,0.0,0.0,24124.0,26279.0,26831.0,22070.0,27012.0,23075.0,30000.0,2,2,2,38,0
226,2800.0,2900.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,3.0,27248.0,28511.0,30952.0,28720.0,29281.0,27977.0,30000.0,2,2,1,30,0
227,5066.0,7000.0,3000.0,1507.0,1003.0,4011.0,0.0,0.0,0.0,0.0,0.0,0.0,16077.0,11286.0,12833.0,19796.0,16389.0,18510.0,20000.0,1,1,1,41,0
228,10000.0,45000.0,86000.0,10699.0,3560.0,5080.0,0.0,0.0,0.0,0.0,0.0,0.0,151884.0,147650.0,43703.0,168708.0,146113.0,161074.0,230000.0,2,4,2,30,0
230,500.0,500.0,200.0,1310.0,500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,9641.0,9294.0,9263.0,10420.0,9468.0,8451.0,50000.0,1,3,1,48,0
231,8200.0,6800.0,7000.0,7000.0,7100.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,219122.0,227841.0,228377.0,196963.0,223267.0,201741.0,210000.0,1,4,2,27,0
233,2798.0,2627.0,3000.0,3500.0,3500.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,68392.0,67790.0,69248.0,73561.0,69435.0,70071.0,130000.0,1,1,2,27,1
237,1000.0,10550.0,9000.0,6042.0,600.0,3558.0,0.0,0.0,0.0,0.0,0.0,0.0,94520.0,12552.0,20550.0,168068.0,14422.0,168685.0,240000.0,2,1,2,28,0
238,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,1.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,90000.0,1,1,2,27,0
240,0.0,0.0,0.0,0.0,0.0,2500.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2500.0,0.0,0.0,0.0,0.0,0.0,320000.0,2,1,2,35,1
241,0.0,0.0,53528.0,14002.0,2000.0,560.0,2.0,-2.0,-2.0,2.0,2.0,2.0,90684.0,25000.0,0.0,89296.0,23000.0,101755.0,100000.0,1,2,2,26,0
243,0.0,1300.0,3500.0,3400.0,1500.0,2000.0,2.0,0.0,0.0,2.0,2.0,2.0,30027.0,29346.0,29717.0,26782.0,28928.0,29104.0,60000.0,2,2,1,47,1
248,2000.0,2000.0,2000.0,2167.0,1469.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,39138.0,40536.0,41697.0,46096.0,40023.0,37939.0,130000.0,2,2,1,47,0
